Day,Class,"I
 09:00 - 10:00",Unnamed: 3,Unnamed: 4,"II
 10:05 - 11:05",Unnamed: 6,Unnamed: 7,11:05 - 11:25,"III
 11:25 - 12:25",Unnamed: 10,Unnamed: 11,"IV
 12:30 - 01:30",Unnamed: 13,Unnamed: 14,"V
 01:35 - 02:35",Unnamed: 16,Unnamed: 17,"VI
 02:40 - 03:40",Unnamed: 19,Unnamed: 20,"VII
 03.40 - 04.40",Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28
,BCA-3A,CIL,PRS,ET-303,ANDROID LAB,SNT,ETCC-407,,ML,CND,ET-202,DM,JSL,ET-202,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,PLACEMENT SESSION,,,,,,,,,,
,BCA-3B,DM,PRK,ET-403,ML,KP,ET-403,,DM LAB,PRK,ETCC-206,DM LAB,PRK,ETCC-206,,,,,,,,,,,,,,
,BCA-3C,ML,ISK,ET-501,CIL,PNT,ET-501,,ANDROID,SNT,ET-505,DM,JHN,ET-103,,,,,,,,,,,,,,
,MCA-1,AD JAVA LAB,JSL,LANG LAB,WT LAB,HMK,ET-103,,AD JAVA,JSL,ET-503,Lunch Break,,,LINUX,JHN,ET-201,ISCL,PRK,LANG LAB,,,,,,,,
,MCA-2,RP,KP,ET-303,MLDA LAB,CND,LANG LAB,,CC LAB,SHG,LANG LAB,AWT LAB,HSK,LANG LAB,GP1( MERN )PRT-ETCC-304 GP 1(MOBILE DEVELOPMENT) -ISK ETCC-507 GP1 (UX/UI)-GVA- ETCC-407 LIVE PROJECT-SHK-LANG LAB,,,PLACEMENT SESSION,,,,,,,,,,
,Btech Section AI & ML,Workshop Group 1 & PPS LAB Group ETCC -206,,,,,,,PPS,,ET-101,English,Rimpy,ET-101,Lunch Break,,,Workshop Group-2,,,,,,,,,,
,Btech Section A,EGD(SK & Arif),,,,,,,BEE,TNT,ET-103,Physics,FZ,ET- 103,,,,BEE Lab G1 TNT,,,,,,,,,,
,Btech Section B,BEE Gp-2 TNT,,,,,,,Physics,FZ,ET-102,BEE,TNT,ET-102,Mathematics II,DMK,ET-102,,,,,,,,,,,
,Btech Section C,English,Tulika,ET-103,Chemistry,NK,ET-102,,Lunch Break,,,,,,Chemistry LAB Group 2 & PPS Group 1,,,,,,,,,,,,,
,BTECH CSE-2A GP1,UHV,SW,ET-101,MATHS IV,PK,ET-101,,DAA,ALM,ET-402,Lunch Break,,,COA,APK,ET-103,OS LAB,SMB,ETCC-407,DAA LAB,NVG,ETCC-507,,,,,
,BTECH CSE-2A GP2,,,,,,,,,,,,,,,,,DAA LAB,NVG,ETCC-507,OS LAB,SMB,ETCC-407,,,,,
